0.484,0.883,1.397,1.858
0.487,0.886,1.405,1.867
0.49,0.891,1.416,1.879
0.492,0.895,1.427,1.886
0.495,0.899,1.436,1.896
0.498,0.904,1.445,1.905
0.501,0.908,1.453,1.906
0.504,0.913,1.461,1.92
0.506,0.917,1.469,1.93
0.509,0.921,1.48,1.941
0.511,0.924,1.486,1.945
0.514,0.928,1.495,1.955
0.517,0.933,1.502,1.962
0.52,0.938,1.51,1.98
0.523,0.943,1.516,1.989
0.526,0.949,1.527,2.002
0.529,0.954,1.536,2.021
0.532,0.96,1.544,2.039
0.535,0.966,1.551,2.053
0.538,0.972,1.562,2.073
0.541,0.978,1.569,2.085
0.543,0.984,1.576,2.109
0.546,0.99,1.584,2.125
0.55,0.997,1.594,2.152
0.553,1.003,1.607,2.18
0.556,1.009,1.619,2.212
0.559,1.017,1.631,2.246
0.562,1.022,1.641,2.268
0.566,1.029,1.652,2.298
0.569,1.035,1.663,2.324
0.572,1.041,1.673,2.365
0.576,1.047,1.691,2.426
0.579,1.053,1.704,2.453
0.582,1.058,1.717,2.481
0.585,1.065,1.729,2.5
0.589,1.073,1.749,2.5
0.592,1.08,1.761,2.5
0.596,1.087,1.777,2.5
0.599,1.094,1.789,2.5
0.602,1.1,1.798,2.5
0.605,1.105,1.802,2.5
0.608,1.111,1.809,2.5
0.611,1.118,1.816,2.5
0.614,1.124,1.828,2.5
0.616,1.129,1.833,2.5
0.619,1.136,1.845,2.5
0.621,1.144,1.851,2.5
0.624,1.151,1.866,2.5
0.626,1.155,1.874,2.5
0.628,1.159,1.884,2.5
0.63,1.163,1.892,2.5
0.632,1.165,1.9,2.5
0.633,1.169,1.913,2.5
0.635,1.173,1.935,2.5
0.636,1.177,1.939,2.5
0.638,1.179,1.955,2.5
0.638,1.182,1.96,2.5
0.639,1.183,1.967,2.5
0.641,1.187,1.992,2.5
0.642,1.19,2.019,2.5
0.643,1.194,2.029,2.5
0.644,1.196,2.05,2.5
0.644,1.197,2.049,2.5
0.645,1.198,2.072,2.5
0.646,1.2,2.089,2.5
0.647,1.201,2.102,2.5
0.647,1.205,2.149,2.5
0.647,1.206,2.16,2.5
0.647,1.206,2.178,2.5
0.647,1.209,2.199,2.5
0.647,1.21,2.194,2.5
0.647,1.209,2.209,2.5
0.645,1.207,2.195,2.5
0.645,1.206,2.196,2.5
0.643,1.208,2.212,2.5
0.641,1.209,2.218,2.5
0.64,1.208,2.193,2.5
0.638,1.207,2.19,2.5
0.635,1.204,2.145,2.5
0.633,1.203,2.126,2.5
0.631,1.203,2.107,2.5
0.629,1.199,2.115,2.5
0.628,1.2,2.135,2.5
0.626,1.198,2.129,2.5
0.623,1.197,2.116,2.5
0.62,1.192,2.112,2.5
0.618,1.187,2.101,2.5
0.616,1.183,2.117,2.5
0.614,1.181,2.106,2.5
0.611,1.176,2.101,2.5
0.608,1.172,2.087,2.5
0.606,1.165,2.057,2.5
0.603,1.161,2.049,2.5
0.599,1.156,2.044,2.5
0.595,1.149,2.018,2.5
0.592,1.141,2.012,2.5
0.588,1.135,1.984,2.5
0.584,1.13,1.996,2.5
0.58,1.123,1.971,2.5
0.576,1.112,1.922,2.5
0.571,1.1,1.885,2.5
0.567,1.092,1.889,2.5
0.563,1.084,1.86,2.5
0.559,1.075,1.842,2.5
0.555,1.063,1.82,2.5
0.551,1.053,1.808,2.5
0.547,1.046,1.778,2.5
0.542,1.037,1.752,2.5
0.536,1.033,1.741,2.5
0.532,1.026,1.72,2.5
0.527,1.02,1.731,2.5
0.523,1.015,1.74,2.5
