nm lambda,1,2,3,4,5,6,7,8
381.308,0.042,0.063,0.061,0.096,0.09,0.082,0.123,0.123
381.479,0.044,0.062,0.062,0.096,0.089,0.082,0.122,0.124
381.651,0.044,0.061,0.063,0.096,0.088,0.082,0.122,0.127
381.822,0.043,0.061,0.063,0.095,0.087,0.08,0.121,0.126
381.993,0.042,0.06,0.063,0.095,0.085,0.08,0.12,0.124
382.165,0.042,0.059,0.064,0.095,0.084,0.08,0.121,0.126
382.336,0.042,0.059,0.064,0.095,0.085,0.079,0.121,0.126
382.507,0.044,0.06,0.065,0.096,0.086,0.08,0.123,0.126
382.679,0.043,0.06,0.065,0.096,0.086,0.08,0.125,0.125
382.85,0.043,0.06,0.066,0.095,0.086,0.08,0.126,0.124
383.021,0.044,0.061,0.067,0.096,0.086,0.08,0.127,0.123
383.193,0.044,0.062,0.068,0.096,0.087,0.08,0.128,0.123
383.364,0.043,0.061,0.067,0.094,0.087,0.079,0.129,0.122
383.535,0.043,0.061,0.066,0.094,0.087,0.079,0.128,0.122
383.707,0.042,0.06,0.065,0.092,0.087,0.079,0.129,0.122
383.878,0.042,0.061,0.065,0.091,0.087,0.079,0.13,0.121
384.049,0.042,0.06,0.065,0.091,0.087,0.079,0.13,0.12
384.221,0.043,0.059,0.065,0.09,0.087,0.079,0.129,0.12
384.392,0.043,0.059,0.064,0.09,0.087,0.078,0.129,0.119
384.564,0.043,0.06,0.063,0.091,0.087,0.079,0.13,0.118
384.735,0.043,0.06,0.063,0.091,0.088,0.079,0.129,0.117
384.906,0.044,0.061,0.064,0.092,0.089,0.08,0.13,0.118
385.078,0.044,0.061,0.064,0.092,0.091,0.081,0.13,0.119
385.249,0.044,0.061,0.065,0.092,0.091,0.08,0.13,0.119
385.42,0.044,0.061,0.065,0.092,0.091,0.08,0.129,0.12
385.592,0.045,0.061,0.065,0.092,0.092,0.08,0.129,0.12
385.763,0.045,0.06,0.066,0.093,0.091,0.08,0.128,0.12
385.934,0.045,0.061,0.066,0.092,0.09,0.079,0.127,0.119
386.106,0.045,0.061,0.066,0.093,0.09,0.08,0.127,0.119
386.277,0.046,0.061,0.067,0.094,0.091,0.08,0.128,0.12
386.448,0.046,0.062,0.068,0.095,0.091,0.081,0.129,0.12
386.62,0.047,0.062,0.069,0.095,0.092,0.082,0.13,0.12
386.791,0.047,0.063,0.069,0.096,0.092,0.081,0.13,0.12
386.963,0.047,0.063,0.07,0.096,0.093,0.081,0.131,0.12
387.134,0.047,0.063,0.071,0.097,0.093,0.082,0.132,0.12
387.305,0.047,0.063,0.071,0.097,0.093,0.081,0.132,0.12
387.477,0.047,0.062,0.07,0.096,0.093,0.081,0.132,0.12
387.648,0.047,0.062,0.07,0.096,0.093,0.08,0.132,0.12
387.819,0.047,0.062,0.07,0.096,0.093,0.08,0.133,0.119
387.991,0.046,0.062,0.07,0.096,0.093,0.08,0.133,0.119
388.162,0.046,0.062,0.07,0.096,0.094,0.08,0.133,0.119
388.334,0.046,0.062,0.069,0.096,0.094,0.08,0.133,0.119
388.505,0.045,0.062,0.069,0.096,0.094,0.08,0.132,0.118
388.676,0.045,0.062,0.069,0.096,0.093,0.079,0.133,0.118
388.848,0.046,0.062,0.069,0.096,0.094,0.08,0.132,0.118
389.019,0.046,0.062,0.07,0.096,0.094,0.079,0.132,0.118
389.19,0.046,0.062,0.07,0.096,0.094,0.079,0.132,0.118
389.362,0.046,0.062,0.07,0.096,0.094,0.079,0.131,0.118
389.533,0.046,0.062,0.069,0.095,0.094,0.079,0.131,0.118
389.705,0.046,0.062,0.07,0.095,0.094,0.079,0.131,0.118
389.876,0.046,0.062,0.07,0.095,0.093,0.079,0.131,0.118
390.047,0.046,0.062,0.07,0.095,0.094,0.078,0.131,0.119
390.219,0.046,0.062,0.071,0.096,0.094,0.079,0.132,0.119
390.39,0.046,0.062,0.071,0.096,0.094,0.078,0.132,0.119
390.562,0.046,0.062,0.072,0.096,0.095,0.079,0.132,0.119
390.733,0.046,0.062,0.072,0.097,0.095,0.078,0.133,0.119
390.904,0.046,0.062,0.073,0.097,0.095,0.078,0.133,0.119
391.076,0.047,0.062,0.073,0.097,0.096,0.078,0.134,0.12
391.247,0.047,0.062,0.073,0.097,0.096,0.078,0.135,0.12
391.419,0.047,0.062,0.073,0.097,0.096,0.078,0.135,0.12
391.59,0.047,0.062,0.073,0.097,0.096,0.078,0.136,0.12
391.761,0.047,0.063,0.074,0.098,0.097,0.078,0.136,0.12
391.933,0.047,0.063,0.074,0.099,0.097,0.078,0.137,0.12
392.104,0.048,0.063,0.074,0.099,0.098,0.079,0.138,0.121
392.276,0.048,0.063,0.075,0.099,0.098,0.079,0.139,0.12
392.447,0.048,0.064,0.075,0.099,0.098,0.079,0.139,0.121
392.618,0.048,0.064,0.076,0.1,0.099,0.079,0.14,0.121
392.79,0.049,0.064,0.076,0.1,0.099,0.079,0.141,0.121
392.961,0.049,0.064,0.076,0.1,0.1,0.08,0.141,0.121
393.133,0.049,0.065,0.077,0.1,0.1,0.08,0.141,0.121
