510.263,520.259,680.251,690.118
0.014,0.02,0.022,0.01
0.058,0.063,0.064,0.049
0.017,0.027,0.031,0.012
0.027,0.04,0.041,0.018
0.041,0.052,0.058,0.032
0.12,0.134,0.147,0.114
0.051,0.068,0.075,0.039
0.142,0.162,0.175,0.134
0.11,0.165,0.201,0.081
0.242,0.338,0.416,0.193
0.336,0.485,0.639,0.281
0.418,0.606,0.836,0.365
