nm lambda,1,2,3,4
393.304,1.768,1.328,0.829,0.453
393.475,1.768,1.33,0.832,0.454
393.647,1.772,1.332,0.834,0.456
393.818,1.774,1.337,0.836,0.457
393.99,1.775,1.339,0.839,0.458
394.161,1.772,1.34,0.841,0.459
394.332,1.779,1.345,0.844,0.46
394.504,1.781,1.346,0.846,0.462
394.675,1.788,1.351,0.849,0.464
394.847,1.788,1.354,0.852,0.465
395.018,1.797,1.358,0.855,0.468
395.189,1.8,1.359,0.857,0.469
395.361,1.812,1.366,0.861,0.472
395.532,1.822,1.372,0.866,0.474
395.704,1.835,1.379,0.871,0.477
395.875,1.841,1.385,0.874,0.479
396.047,1.849,1.392,0.878,0.481
396.218,1.858,1.397,0.883,0.484
396.389,1.867,1.405,0.886,0.487
396.561,1.879,1.416,0.891,0.49
396.732,1.886,1.427,0.895,0.492
396.904,1.896,1.436,0.899,0.495
397.075,1.905,1.445,0.904,0.498
397.247,1.906,1.453,0.908,0.501
397.418,1.92,1.461,0.913,0.504
397.589,1.93,1.469,0.917,0.506
397.761,1.941,1.48,0.921,0.509
397.932,1.945,1.486,0.924,0.511
398.104,1.955,1.495,0.928,0.514
398.275,1.962,1.502,0.933,0.517
398.447,1.98,1.51,0.938,0.52
398.618,1.989,1.516,0.943,0.523
398.789,2.002,1.527,0.949,0.526
398.961,2.021,1.536,0.954,0.529
399.132,2.039,1.544,0.96,0.532
399.304,2.053,1.551,0.966,0.535
399.475,2.073,1.562,0.972,0.538
399.647,2.085,1.569,0.978,0.541
399.818,2.109,1.576,0.984,0.543
399.989,2.125,1.584,0.99,0.546
400.161,2.152,1.594,0.997,0.55
400.332,2.18,1.607,1.003,0.553
400.504,2.212,1.619,1.009,0.556
400.675,2.246,1.631,1.017,0.559
400.847,2.268,1.641,1.022,0.562
401.018,2.298,1.652,1.029,0.566
401.19,2.324,1.663,1.035,0.569
401.361,2.365,1.673,1.041,0.572
401.533,2.426,1.691,1.047,0.576
401.704,2.453,1.704,1.053,0.579
401.875,2.481,1.717,1.058,0.582
402.047,2.5,1.729,1.065,0.585
402.218,2.5,1.749,1.073,0.589
402.39,2.5,1.761,1.08,0.592
402.561,2.5,1.777,1.087,0.596
402.733,2.5,1.789,1.094,0.599
402.904,2.5,1.798,1.1,0.602
403.076,2.5,1.802,1.105,0.605
403.247,2.5,1.809,1.111,0.608
403.419,2.5,1.816,1.118,0.611
403.59,2.5,1.828,1.124,0.614
403.762,2.5,1.833,1.129,0.616
403.933,2.5,1.845,1.136,0.619
404.104,2.5,1.851,1.144,0.621
404.276,2.5,1.866,1.151,0.624
404.447,2.5,1.874,1.155,0.626
404.619,2.5,1.884,1.159,0.628
404.79,2.5,1.892,1.163,0.63
404.962,2.5,1.9,1.165,0.632
405.133,2.5,1.913,1.169,0.633
405.305,2.5,1.935,1.173,0.635
405.476,2.5,1.939,1.177,0.636
405.648,2.5,1.955,1.179,0.638
405.819,2.5,1.96,1.182,0.638
405.991,2.5,1.967,1.183,0.639
406.162,2.5,1.992,1.187,0.641
406.334,2.5,2.019,1.19,0.642
406.505,2.5,2.029,1.194,0.643
406.677,2.5,2.05,1.196,0.644
406.848,2.5,2.049,1.197,0.644
407.02,2.5,2.072,1.198,0.645
407.191,2.5,2.089,1.2,0.646
407.363,2.5,2.102,1.201,0.647
407.534,2.5,2.149,1.205,0.647
407.706,2.5,2.16,1.206,0.647
407.877,2.5,2.178,1.206,0.647
408.048,2.5,2.199,1.209,0.647
408.22,2.5,2.194,1.21,0.647
408.391,2.5,2.209,1.209,0.647
408.563,2.5,2.195,1.207,0.645
408.734,2.5,2.196,1.206,0.645
408.906,2.5,2.212,1.208,0.643
409.077,2.5,2.218,1.209,0.641
409.249,2.5,2.193,1.208,0.64
409.42,2.5,2.19,1.207,0.638
409.592,2.5,2.145,1.204,0.635
409.763,2.5,2.126,1.203,0.633
409.935,2.5,2.107,1.203,0.631
410.106,2.5,2.115,1.199,0.629
410.278,2.5,2.135,1.2,0.628
410.449,2.5,2.129,1.198,0.626
410.621,2.5,2.116,1.197,0.623
410.792,2.5,2.112,1.192,0.62
410.964,2.5,2.101,1.187,0.618
411.135,2.5,2.117,1.183,0.616
411.307,2.5,2.106,1.181,0.614
411.479,2.5,2.101,1.176,0.611
411.65,2.5,2.087,1.172,0.608
411.822,2.5,2.057,1.165,0.606
411.993,2.5,2.049,1.161,0.603
412.165,2.5,2.044,1.156,0.599
412.336,2.5,2.018,1.149,0.595
412.508,2.5,2.012,1.141,0.592
412.679,2.5,1.984,1.135,0.588
412.851,2.5,1.996,1.13,0.584
413.022,2.5,1.971,1.123,0.58
413.194,2.5,1.922,1.112,0.576
413.365,2.5,1.885,1.1,0.571
413.537,2.5,1.889,1.092,0.567
413.708,2.5,1.86,1.084,0.563
413.88,2.5,1.842,1.075,0.559
414.051,2.5,1.82,1.063,0.555
414.223,2.5,1.808,1.053,0.551
414.394,2.5,1.778,1.046,0.547
414.566,2.5,1.752,1.037,0.542
414.737,2.5,1.741,1.033,0.536
414.909,2.5,1.72,1.026,0.532
415.08,2.5,1.731,1.02,0.527
415.252,2.5,1.74,1.015,0.523
415.424,2.5,1.748,1.009,0.518
415.595,2.5,1.768,1.001,0.514
415.767,2.5,1.76,0.994,0.51
415.938,2.5,1.76,0.986,0.505
416.11,2.5,1.755,0.981,0.499
416.281,2.5,1.752,0.973,0.495
416.453,2.5,1.736,0.964,0.491
416.624,2.5,1.734,0.956,0.486
416.796,2.5,1.683,0.946,0.481
416.967,2.5,1.655,0.934,0.475
417.139,2.5,1.607,0.921,0.47
417.31,2.5,1.575,0.907,0.465
417.482,2.5,1.551,0.896,0.46
417.654,2.5,1.533,0.886,0.456
417.825,2.464,1.496,0.876,0.451
417.997,2.414,1.461,0.863,0.446
418.168,2.352,1.422,0.853,0.441
418.34,2.351,1.403,0.845,0.437
418.511,2.306,1.387,0.838,0.432
418.683,2.222,1.359,0.829,0.426
418.854,2.209,1.35,0.822,0.421
419.026,2.174,1.328,0.811,0.417
419.198,2.156,1.317,0.8,0.412
419.369,2.117,1.299,0.793,0.407
419.541,2.063,1.282,0.78,0.4
419.712,2.045,1.273,0.771,0.396
419.884,2,1.25,0.761,0.39
420.055,1.957,1.236,0.752,0.385
420.227,1.931,1.225,0.74,0.379
420.398,1.905,1.208,0.728,0.374
420.57,1.852,1.187,0.716,0.369
420.742,1.775,1.172,0.704,0.363
420.913,1.734,1.148,0.692,0.358
421.085,1.706,1.137,0.682,0.353
421.256,1.653,1.121,0.672,0.348
421.428,1.616,1.11,0.664,0.344
421.599,1.577,1.092,0.656,0.339
421.771,1.528,1.068,0.646,0.333
421.943,1.495,1.054,0.638,0.329
422.114,1.475,1.038,0.631,0.325
422.286,1.439,1.021,0.624,0.321
422.457,1.422,1.012,0.617,0.317
422.629,1.388,0.994,0.61,0.314
422.8,1.344,0.967,0.601,0.31
422.972,1.327,0.955,0.593,0.306
423.144,1.292,0.926,0.586,0.302
423.315,1.272,0.912,0.581,0.299
423.487,1.256,0.9,0.575,0.295
423.658,1.239,0.887,0.565,0.29
423.83,1.226,0.877,0.559,0.287
424.002,1.201,0.864,0.55,0.282
424.173,1.178,0.851,0.54,0.278
424.345,1.155,0.834,0.53,0.273
424.516,1.126,0.82,0.522,0.269
424.688,1.094,0.804,0.511,0.265
424.859,1.069,0.794,0.502,0.261
425.031,1.046,0.781,0.494,0.256
425.203,1.025,0.77,0.485,0.252
425.374,0.997,0.755,0.476,0.247
425.546,0.979,0.744,0.468,0.242
425.717,0.952,0.726,0.458,0.237
425.889,0.93,0.714,0.45,0.233
426.061,0.912,0.703,0.442,0.228
426.232,0.892,0.691,0.434,0.223
426.404,0.868,0.678,0.427,0.218
426.575,0.85,0.67,0.421,0.214
426.747,0.827,0.656,0.413,0.209
426.919,0.81,0.645,0.408,0.206
427.09,0.797,0.635,0.401,0.201
427.262,0.778,0.624,0.394,0.197
427.433,0.765,0.616,0.389,0.193
427.605,0.751,0.604,0.383,0.189
427.777,0.737,0.591,0.376,0.184
427.948,0.723,0.581,0.37,0.181
428.12,0.707,0.571,0.363,0.177
428.291,0.694,0.561,0.356,0.173
428.463,0.682,0.551,0.351,0.169
428.635,0.67,0.542,0.345,0.167
428.806,0.661,0.529,0.339,0.163
428.978,0.654,0.521,0.333,0.159
429.149,0.639,0.511,0.326,0.155
429.321,0.629,0.501,0.321,0.153
429.493,0.617,0.493,0.316,0.15
429.664,0.608,0.487,0.312,0.148
429.836,0.598,0.477,0.308,0.144
430.008,0.588,0.469,0.304,0.142
430.179,0.577,0.459,0.3,0.138
430.351,0.567,0.453,0.297,0.137
430.522,0.556,0.445,0.293,0.136
430.694,0.545,0.438,0.287,0.133
430.866,0.535,0.429,0.285,0.131
431.037,0.526,0.423,0.281,0.129
431.209,0.514,0.415,0.276,0.127
431.381,0.502,0.409,0.272,0.124
431.552,0.494,0.398,0.268,0.122
431.724,0.485,0.392,0.264,0.119
431.895,0.475,0.384,0.258,0.116
432.067,0.466,0.378,0.254,0.113
432.239,0.459,0.371,0.25,0.11
432.41,0.449,0.363,0.247,0.107
432.582,0.441,0.357,0.243,0.105
432.754,0.433,0.352,0.239,0.102
432.925,0.425,0.345,0.235,0.099
433.097,0.415,0.339,0.231,0.096
433.269,0.405,0.334,0.227,0.094
433.44,0.398,0.33,0.225,0.092
433.612,0.391,0.326,0.221,0.09
433.783,0.385,0.319,0.218,0.088
433.955,0.378,0.311,0.215,0.085
434.127,0.372,0.305,0.212,0.084
434.298,0.366,0.299,0.209,0.083
434.47,0.36,0.295,0.207,0.082
434.642,0.354,0.29,0.204,0.081
434.813,0.347,0.286,0.202,0.08
434.985,0.341,0.281,0.2,0.079
435.157,0.334,0.278,0.196,0.078
435.328,0.328,0.272,0.194,0.078
435.5,0.323,0.268,0.19,0.076
435.672,0.317,0.263,0.187,0.075
435.843,0.313,0.26,0.184,0.073
436.015,0.306,0.253,0.181,0.071
436.187,0.299,0.25,0.178,0.069
436.358,0.294,0.247,0.176,0.067
436.53,0.288,0.245,0.173,0.066
436.701,0.284,0.243,0.17,0.066
436.873,0.279,0.24,0.168,0.064
437.045,0.274,0.235,0.165,0.062
437.216,0.27,0.232,0.163,0.06
437.388,0.267,0.228,0.16,0.058
437.56,0.263,0.224,0.158,0.058
437.731,0.26,0.22,0.154,0.055
437.903,0.256,0.216,0.152,0.054
438.075,0.252,0.213,0.15,0.052
438.246,0.249,0.21,0.148,0.051
438.418,0.245,0.208,0.146,0.049
438.59,0.243,0.205,0.145,0.048
438.761,0.239,0.201,0.142,0.046
438.933,0.236,0.199,0.14,0.045
439.105,0.232,0.196,0.14,0.044
439.276,0.229,0.192,0.137,0.043
439.448,0.226,0.189,0.135,0.043
439.62,0.223,0.187,0.133,0.041
439.791,0.219,0.185,0.131,0.04
439.963,0.216,0.182,0.129,0.039
440.135,0.212,0.178,0.127,0.038
440.307,0.208,0.177,0.125,0.037
440.478,0.206,0.176,0.124,0.037
440.65,0.203,0.175,0.122,0.037
440.822,0.199,0.172,0.12,0.036
440.993,0.197,0.171,0.119,0.036
441.165,0.195,0.169,0.119,0.035
441.337,0.193,0.167,0.117,0.035
441.508,0.19,0.165,0.116,0.034
441.68,0.187,0.163,0.115,0.035
441.852,0.185,0.163,0.114,0.034
442.023,0.182,0.161,0.115,0.034
442.195,0.181,0.158,0.115,0.034
442.367,0.178,0.156,0.114,0.033
442.538,0.177,0.155,0.114,0.032
442.71,0.175,0.152,0.113,0.031
442.882,0.173,0.151,0.112,0.031
443.054,0.171,0.151,0.113,0.03
443.225,0.169,0.148,0.112,0.031
443.397,0.166,0.146,0.11,0.03
443.569,0.165,0.146,0.109,0.03
443.74,0.163,0.144,0.109,0.029
443.912,0.16,0.141,0.107,0.029
444.084,0.158,0.138,0.106,0.028
444.255,0.156,0.137,0.104,0.027
444.427,0.155,0.135,0.104,0.027
444.599,0.153,0.134,0.103,0.027
444.771,0.151,0.134,0.102,0.027
444.942,0.15,0.133,0.101,0.027
445.114,0.149,0.132,0.101,0.027
445.286,0.146,0.13,0.1,0.027
445.457,0.145,0.128,0.098,0.026
445.629,0.143,0.127,0.099,0.026
445.801,0.142,0.126,0.1,0.026
445.972,0.142,0.124,0.1,0.026
446.144,0.14,0.122,0.1,0.025
446.316,0.14,0.121,0.1,0.025
446.488,0.138,0.121,0.099,0.023
446.659,0.137,0.121,0.098,0.023
446.831,0.136,0.12,0.098,0.022
447.003,0.135,0.119,0.097,0.022
447.174,0.133,0.118,0.096,0.021
447.346,0.132,0.117,0.094,0.02
447.518,0.131,0.117,0.094,0.02
447.69,0.13,0.116,0.093,0.019
447.861,0.13,0.114,0.093,0.018
448.033,0.129,0.112,0.092,0.018
448.205,0.128,0.112,0.092,0.018
448.377,0.127,0.11,0.091,0.018
448.548,0.127,0.109,0.091,0.018
448.72,0.126,0.109,0.09,0.018
448.892,0.125,0.109,0.089,0.018
449.063,0.124,0.109,0.088,0.018
449.235,0.122,0.107,0.087,0.017
449.407,0.122,0.107,0.087,0.018
449.579,0.121,0.107,0.087,0.017
449.75,0.121,0.107,0.087,0.018
449.922,0.122,0.105,0.087,0.018
450.094,0.121,0.104,0.087,0.018
450.266,0.121,0.105,0.085,0.017
450.437,0.12,0.105,0.085,0.018
450.609,0.119,0.103,0.084,0.017
450.781,0.119,0.103,0.084,0.017
450.953,0.118,0.103,0.084,0.018
451.124,0.116,0.103,0.083,0.017
451.296,0.115,0.103,0.083,0.018
451.468,0.114,0.102,0.082,0.018
451.64,0.114,0.101,0.083,0.018
451.811,0.113,0.1,0.083,0.018
451.983,0.113,0.1,0.083,0.018
452.155,0.113,0.1,0.084,0.017
452.327,0.113,0.099,0.084,0.017
452.498,0.112,0.098,0.083,0.017
452.67,0.112,0.098,0.083,0.017
452.842,0.111,0.099,0.083,0.017
453.014,0.11,0.098,0.083,0.017
453.185,0.11,0.098,0.083,0.017
453.357,0.11,0.098,0.083,0.016
