nm lambda,1,2,3,4,5,6,7,8
381.308,0.123,0.123,0.082,0.09,0.096,0.061,0.063,0.042
381.479,0.124,0.122,0.082,0.089,0.096,0.062,0.062,0.044
381.651,0.127,0.122,0.082,0.088,0.096,0.063,0.061,0.044
381.822,0.126,0.121,0.08,0.087,0.095,0.063,0.061,0.043
381.993,0.124,0.12,0.08,0.085,0.095,0.063,0.06,0.042
382.165,0.126,0.121,0.08,0.084,0.095,0.064,0.059,0.042
382.336,0.126,0.121,0.079,0.085,0.095,0.064,0.059,0.042
382.507,0.126,0.123,0.08,0.086,0.096,0.065,0.06,0.044
382.679,0.125,0.125,0.08,0.086,0.096,0.065,0.06,0.043
382.85,0.124,0.126,0.08,0.086,0.095,0.066,0.06,0.043
383.021,0.123,0.127,0.08,0.086,0.096,0.067,0.061,0.044
383.193,0.123,0.128,0.08,0.087,0.096,0.068,0.062,0.044
383.364,0.122,0.129,0.079,0.087,0.094,0.067,0.061,0.043
383.535,0.122,0.128,0.079,0.087,0.094,0.066,0.061,0.043
383.707,0.122,0.129,0.079,0.087,0.092,0.065,0.06,0.042
383.878,0.121,0.13,0.079,0.087,0.091,0.065,0.061,0.042
384.049,0.12,0.13,0.079,0.087,0.091,0.065,0.06,0.042
384.221,0.12,0.129,0.079,0.087,0.09,0.065,0.059,0.043
384.392,0.119,0.129,0.078,0.087,0.09,0.064,0.059,0.043
384.564,0.118,0.13,0.079,0.087,0.091,0.063,0.06,0.043
384.735,0.117,0.129,0.079,0.088,0.091,0.063,0.06,0.043
384.906,0.118,0.13,0.08,0.089,0.092,0.064,0.061,0.044
385.078,0.119,0.13,0.081,0.091,0.092,0.064,0.061,0.044
385.249,0.119,0.13,0.08,0.091,0.092,0.065,0.061,0.044
385.42,0.12,0.129,0.08,0.091,0.092,0.065,0.061,0.044
385.592,0.12,0.129,0.08,0.092,0.092,0.065,0.061,0.045
385.763,0.12,0.128,0.08,0.091,0.093,0.066,0.06,0.045
385.934,0.119,0.127,0.079,0.09,0.092,0.066,0.061,0.045
386.106,0.119,0.127,0.08,0.09,0.093,0.066,0.061,0.045
386.277,0.12,0.128,0.08,0.091,0.094,0.067,0.061,0.046
386.448,0.12,0.129,0.081,0.091,0.095,0.068,0.062,0.046
386.62,0.12,0.13,0.082,0.092,0.095,0.069,0.062,0.047
386.791,0.12,0.13,0.081,0.092,0.096,0.069,0.063,0.047
386.963,0.12,0.131,0.081,0.093,0.096,0.07,0.063,0.047
387.134,0.12,0.132,0.082,0.093,0.097,0.071,0.063,0.047
387.305,0.12,0.132,0.081,0.093,0.097,0.071,0.063,0.047
387.477,0.12,0.132,0.081,0.093,0.096,0.07,0.062,0.047
387.648,0.12,0.132,0.08,0.093,0.096,0.07,0.062,0.047
387.819,0.119,0.133,0.08,0.093,0.096,0.07,0.062,0.047
387.991,0.119,0.133,0.08,0.093,0.096,0.07,0.062,0.046
388.162,0.119,0.133,0.08,0.094,0.096,0.07,0.062,0.046
388.334,0.119,0.133,0.08,0.094,0.096,0.069,0.062,0.046
388.505,0.118,0.132,0.08,0.094,0.096,0.069,0.062,0.045
388.676,0.118,0.133,0.079,0.093,0.096,0.069,0.062,0.045
388.848,0.118,0.132,0.08,0.094,0.096,0.069,0.062,0.046
389.019,0.118,0.132,0.079,0.094,0.096,0.07,0.062,0.046
389.19,0.118,0.132,0.079,0.094,0.096,0.07,0.062,0.046
389.362,0.118,0.131,0.079,0.094,0.096,0.07,0.062,0.046
389.533,0.118,0.131,0.079,0.094,0.095,0.069,0.062,0.046
389.705,0.118,0.131,0.079,0.094,0.095,0.07,0.062,0.046
389.876,0.118,0.131,0.079,0.093,0.095,0.07,0.062,0.046
390.047,0.119,0.131,0.078,0.094,0.095,0.07,0.062,0.046
390.219,0.119,0.132,0.079,0.094,0.096,0.071,0.062,0.046
390.39,0.119,0.132,0.078,0.094,0.096,0.071,0.062,0.046
390.562,0.119,0.132,0.079,0.095,0.096,0.072,0.062,0.046
390.733,0.119,0.133,0.078,0.095,0.097,0.072,0.062,0.046
390.904,0.119,0.133,0.078,0.095,0.097,0.073,0.062,0.046
391.076,0.12,0.134,0.078,0.096,0.097,0.073,0.062,0.047
391.247,0.12,0.135,0.078,0.096,0.097,0.073,0.062,0.047
391.419,0.12,0.135,0.078,0.096,0.097,0.073,0.062,0.047
391.59,0.12,0.136,0.078,0.096,0.097,0.073,0.062,0.047
391.761,0.12,0.136,0.078,0.097,0.098,0.074,0.063,0.047
391.933,0.12,0.137,0.078,0.097,0.099,0.074,0.063,0.047
392.104,0.121,0.138,0.079,0.098,0.099,0.074,0.063,0.048
392.276,0.12,0.139,0.079,0.098,0.099,0.075,0.063,0.048
392.447,0.121,0.139,0.079,0.098,0.099,0.075,0.064,0.048
392.618,0.121,0.14,0.079,0.099,0.1,0.076,0.064,0.048
392.79,0.121,0.141,0.079,0.099,0.1,0.076,0.064,0.049
392.961,0.121,0.141,0.08,0.1,0.1,0.076,0.064,0.049
393.133,0.121,0.141,0.08,0.1,0.1,0.077,0.065,0.049
393.304,0.121,0.142,0.08,0.1,0.101,0.077,0.065,0.049
393.475,0.122,0.143,0.08,0.1,0.101,0.077,0.065,0.049
393.647,0.122,0.143,0.08,0.1,0.101,0.077,0.065,0.049
393.818,0.122,0.143,0.08,0.1,0.101,0.077,0.065,0.049
393.99,0.122,0.144,0.079,0.1,0.101,0.078,0.065,0.049
394.161,0.122,0.144,0.079,0.1,0.102,0.078,0.065,0.049
394.332,0.122,0.144,0.079,0.1,0.102,0.077,0.065,0.048
394.504,0.122,0.144,0.079,0.1,0.102,0.078,0.065,0.048
394.675,0.122,0.144,0.08,0.101,0.102,0.078,0.065,0.048
394.847,0.122,0.145,0.08,0.101,0.102,0.078,0.065,0.049
395.018,0.123,0.145,0.08,0.101,0.103,0.078,0.065,0.049
395.189,0.123,0.145,0.08,0.102,0.103,0.078,0.065,0.049
395.361,0.124,0.146,0.08,0.102,0.103,0.079,0.065,0.049
395.532,0.125,0.146,0.081,0.103,0.104,0.079,0.066,0.049
395.704,0.125,0.148,0.081,0.103,0.105,0.08,0.066,0.05
395.875,0.126,0.148,0.082,0.104,0.105,0.08,0.067,0.05
396.047,0.126,0.149,0.082,0.105,0.106,0.081,0.067,0.051
396.218,0.127,0.15,0.083,0.106,0.107,0.081,0.067,0.051
396.389,0.128,0.151,0.083,0.106,0.107,0.082,0.068,0.051
396.561,0.129,0.152,0.084,0.107,0.108,0.083,0.068,0.052
396.732,0.13,0.153,0.085,0.108,0.109,0.083,0.069,0.052
396.904,0.131,0.154,0.085,0.108,0.109,0.084,0.07,0.053
397.075,0.132,0.155,0.086,0.109,0.11,0.084,0.07,0.053
397.247,0.132,0.156,0.087,0.109,0.111,0.085,0.071,0.053
397.418,0.133,0.157,0.087,0.11,0.112,0.086,0.071,0.054
397.589,0.134,0.158,0.088,0.111,0.113,0.086,0.072,0.054
397.761,0.134,0.159,0.088,0.112,0.114,0.086,0.072,0.054
397.932,0.135,0.16,0.089,0.112,0.114,0.087,0.073,0.055
398.104,0.135,0.161,0.089,0.113,0.115,0.087,0.073,0.055
398.275,0.136,0.162,0.09,0.113,0.115,0.087,0.073,0.055
398.447,0.136,0.163,0.091,0.114,0.116,0.088,0.074,0.056
398.618,0.137,0.164,0.091,0.115,0.116,0.088,0.074,0.056
398.789,0.137,0.165,0.092,0.116,0.117,0.089,0.075,0.056
398.961,0.138,0.166,0.092,0.116,0.117,0.089,0.075,0.057
399.132,0.139,0.167,0.092,0.117,0.118,0.09,0.075,0.057
399.304,0.14,0.168,0.093,0.118,0.119,0.09,0.075,0.057
399.475,0.14,0.169,0.093,0.119,0.119,0.091,0.076,0.057
399.647,0.141,0.17,0.094,0.119,0.12,0.091,0.076,0.057
399.818,0.141,0.171,0.094,0.12,0.12,0.092,0.076,0.057
399.989,0.142,0.171,0.095,0.12,0.121,0.092,0.077,0.058
400.161,0.143,0.172,0.095,0.121,0.121,0.093,0.077,0.058
400.332,0.144,0.173,0.096,0.122,0.122,0.093,0.077,0.058
400.504,0.145,0.174,0.096,0.122,0.122,0.094,0.077,0.058
400.675,0.146,0.175,0.097,0.123,0.123,0.094,0.078,0.059
400.847,0.147,0.176,0.097,0.124,0.124,0.095,0.078,0.059
401.018,0.148,0.177,0.098,0.124,0.125,0.096,0.079,0.059
401.19,0.149,0.179,0.099,0.125,0.125,0.096,0.079,0.059
401.361,0.15,0.18,0.1,0.126,0.126,0.097,0.08,0.06
401.533,0.152,0.181,0.1,0.127,0.127,0.097,0.08,0.06
401.704,0.153,0.182,0.101,0.128,0.128,0.098,0.081,0.06
401.875,0.154,0.183,0.102,0.129,0.129,0.098,0.082,0.061
402.047,0.154,0.184,0.102,0.129,0.129,0.099,0.082,0.061
402.218,0.155,0.186,0.103,0.13,0.13,0.099,0.083,0.061
402.39,0.156,0.187,0.104,0.131,0.131,0.1,0.083,0.062
402.561,0.157,0.188,0.104,0.132,0.131,0.101,0.083,0.063
402.733,0.157,0.189,0.105,0.132,0.132,0.101,0.084,0.063
402.904,0.158,0.19,0.105,0.133,0.132,0.102,0.084,0.063
403.076,0.158,0.19,0.106,0.134,0.133,0.102,0.084,0.064
403.247,0.159,0.191,0.106,0.135,0.134,0.103,0.084,0.064
403.419,0.159,0.192,0.106,0.135,0.134,0.103,0.085,0.064
403.59,0.16,0.193,0.107,0.135,0.134,0.104,0.085,0.065
403.762,0.16,0.193,0.107,0.136,0.135,0.104,0.085,0.065
403.933,0.161,0.194,0.107,0.136,0.135,0.104,0.085,0.065
404.104,0.161,0.195,0.108,0.137,0.136,0.105,0.085,0.065
404.276,0.162,0.195,0.108,0.137,0.136,0.105,0.085,0.065
404.447,0.163,0.196,0.108,0.137,0.136,0.105,0.086,0.066
404.619,0.164,0.197,0.109,0.138,0.137,0.105,0.086,0.066
404.79,0.165,0.198,0.109,0.138,0.137,0.106,0.086,0.066
404.962,0.165,0.198,0.11,0.138,0.137,0.106,0.087,0.066
