nm lambda,1,2,3,4,5,6,7,8
381.308,2.5,2.5,2.5,2.5,2.5,1.228,0.976,0.36
381.479,2.5,2.5,2.5,2.5,2.5,1.192,0.948,0.357
381.651,2.5,2.5,2.5,2.5,2.5,1.171,0.933,0.352
381.822,2.5,2.5,2.5,2.5,2.5,1.135,0.916,0.35
381.993,2.5,2.5,2.5,2.375,2.5,1.107,0.899,0.347
382.165,2.5,2.5,2.5,2.273,2.5,1.088,0.883,0.344
382.336,2.5,2.5,2.5,2.368,2.5,1.083,0.873,0.344
382.507,2.5,2.5,2.429,2.203,2.5,1.058,0.855,0.34
382.679,2.5,2.5,2.5,2.248,2.5,1.047,0.845,0.336
382.85,2.5,2.5,2.482,2.178,2.5,1.031,0.838,0.334
383.021,2.5,2.5,2.5,2.242,2.5,1.022,0.83,0.331
383.193,2.5,2.5,2.416,2.089,2.339,1.003,0.813,0.328
383.364,2.5,2.5,2.374,2.026,2.274,0.994,0.805,0.326
383.535,2.5,2.5,2.433,2.082,2.269,0.988,0.8,0.326
383.707,2.5,2.5,2.431,2.045,2.217,0.985,0.795,0.323
383.878,2.5,2.5,2.331,1.94,2.097,0.971,0.785,0.322
384.049,2.5,2.5,2.223,1.879,2.029,0.958,0.776,0.319
384.221,2.5,2.5,2.214,1.826,1.992,0.948,0.768,0.318
384.392,2.5,2.5,2.222,1.806,1.949,0.937,0.762,0.316
384.564,2.5,2.415,2.146,1.762,1.88,0.931,0.753,0.313
384.735,2.5,2.407,2.118,1.733,1.86,0.925,0.75,0.312
384.906,2.5,2.275,2.021,1.685,1.795,0.914,0.746,0.31
385.078,2.5,2.163,1.953,1.635,1.738,0.903,0.742,0.309
385.249,2.5,2.134,1.908,1.599,1.713,0.896,0.739,0.307
385.42,2.5,2.077,1.84,1.579,1.686,0.891,0.735,0.304
385.592,2.5,2.05,1.804,1.55,1.662,0.885,0.733,0.302
385.763,2.5,1.997,1.77,1.523,1.638,0.88,0.731,0.3
385.934,2.5,1.955,1.739,1.492,1.614,0.873,0.727,0.298
386.106,2.433,1.891,1.706,1.469,1.58,0.866,0.723,0.295
386.277,2.5,1.873,1.693,1.459,1.568,0.862,0.72,0.293
386.448,2.485,1.835,1.669,1.443,1.547,0.857,0.716,0.292
386.62,2.5,1.798,1.649,1.431,1.528,0.851,0.713,0.29
386.791,2.447,1.77,1.623,1.414,1.502,0.846,0.71,0.288
386.963,2.455,1.74,1.608,1.405,1.488,0.842,0.708,0.288
387.134,2.413,1.714,1.592,1.399,1.472,0.839,0.705,0.286
387.305,2.393,1.693,1.575,1.383,1.456,0.834,0.702,0.285
387.477,2.421,1.678,1.564,1.377,1.451,0.831,0.702,0.285
387.648,2.366,1.654,1.541,1.371,1.439,0.828,0.699,0.285
387.819,2.301,1.631,1.521,1.356,1.422,0.824,0.696,0.284
387.991,2.208,1.603,1.498,1.337,1.411,0.818,0.692,0.283
388.162,2.14,1.575,1.475,1.321,1.396,0.813,0.688,0.281
388.334,2.12,1.56,1.463,1.312,1.391,0.81,0.686,0.28
388.505,2.064,1.533,1.442,1.302,1.379,0.805,0.682,0.279
388.676,2.011,1.515,1.424,1.289,1.368,0.803,0.679,0.278
388.848,1.986,1.505,1.41,1.28,1.365,0.8,0.678,0.277
389.019,1.939,1.481,1.392,1.267,1.351,0.795,0.675,0.276
389.19,1.885,1.465,1.377,1.257,1.344,0.791,0.672,0.275
389.362,1.845,1.454,1.365,1.248,1.337,0.789,0.668,0.274
389.533,1.828,1.451,1.358,1.243,1.332,0.786,0.666,0.274
389.705,1.807,1.443,1.354,1.238,1.328,0.784,0.664,0.273
389.876,1.772,1.433,1.346,1.229,1.32,0.78,0.66,0.272
390.047,1.753,1.425,1.341,1.224,1.314,0.778,0.657,0.271
390.219,1.738,1.418,1.336,1.219,1.304,0.775,0.655,0.27
390.39,1.722,1.41,1.329,1.214,1.294,0.772,0.652,0.27
390.562,1.708,1.406,1.326,1.212,1.287,0.77,0.65,0.269
390.733,1.694,1.396,1.323,1.208,1.277,0.767,0.647,0.267
390.904,1.672,1.386,1.313,1.2,1.265,0.763,0.645,0.266
391.076,1.663,1.382,1.308,1.195,1.259,0.76,0.643,0.265
391.247,1.65,1.375,1.303,1.192,1.251,0.758,0.641,0.264
391.419,1.645,1.373,1.302,1.189,1.246,0.755,0.639,0.263
391.59,1.639,1.366,1.296,1.185,1.242,0.753,0.637,0.263
391.761,1.624,1.359,1.289,1.181,1.236,0.75,0.635,0.261
391.933,1.615,1.353,1.283,1.176,1.232,0.747,0.633,0.26
392.104,1.606,1.347,1.277,1.17,1.23,0.744,0.631,0.259
392.276,1.599,1.339,1.272,1.165,1.225,0.741,0.629,0.258
392.447,1.591,1.332,1.266,1.159,1.219,0.738,0.627,0.257
392.618,1.583,1.324,1.259,1.154,1.214,0.735,0.625,0.256
392.79,1.574,1.316,1.251,1.147,1.21,0.732,0.623,0.256
392.961,1.567,1.31,1.245,1.142,1.207,0.729,0.622,0.255
393.133,1.557,1.303,1.239,1.137,1.2,0.726,0.619,0.254
393.304,1.547,1.299,1.235,1.132,1.198,0.723,0.617,0.253
393.475,1.54,1.294,1.231,1.127,1.193,0.721,0.615,0.252
393.647,1.539,1.291,1.227,1.123,1.19,0.719,0.614,0.252
393.818,1.529,1.284,1.222,1.118,1.186,0.716,0.611,0.251
393.99,1.521,1.279,1.217,1.114,1.18,0.713,0.61,0.25
394.161,1.515,1.275,1.212,1.11,1.175,0.711,0.608,0.249
394.332,1.505,1.269,1.207,1.106,1.168,0.708,0.607,0.249
394.504,1.495,1.263,1.202,1.102,1.163,0.706,0.605,0.248
394.675,1.492,1.26,1.199,1.1,1.159,0.704,0.603,0.247
