nm lambda,1,2,3,4,5,6,7,8,9,10,11,12
376.682,0.051,0.084,0.077,0.131,0.12,0.119,0.127,0.183,0.576,1.673,2.5,2.5
376.854,0.053,0.08,0.072,0.134,0.12,0.12,0.134,0.178,0.572,1.925,2.5,2.5
377.025,0.048,0.075,0.073,0.13,0.112,0.113,0.127,0.168,0.553,1.757,2.5,2.5
377.196,0.051,0.076,0.076,0.133,0.116,0.115,0.128,0.164,0.549,1.837,2.5,2.5
377.368,0.051,0.073,0.073,0.129,0.112,0.113,0.128,0.155,0.527,1.694,2.5,2.5
377.539,0.054,0.066,0.074,0.126,0.111,0.112,0.123,0.151,0.517,1.591,2.5,2.5
377.71,0.055,0.065,0.073,0.12,0.108,0.108,0.119,0.146,0.503,1.461,2.5,2.5
377.881,0.053,0.063,0.07,0.117,0.102,0.104,0.112,0.135,0.49,1.414,2.5,2.5
378.053,0.049,0.061,0.069,0.116,0.096,0.099,0.113,0.129,0.478,1.335,2.5,2.5
378.224,0.046,0.062,0.07,0.113,0.09,0.096,0.112,0.126,0.47,1.316,2.473,2.5
378.395,0.047,0.061,0.069,0.113,0.088,0.092,0.109,0.123,0.461,1.308,2.5,2.5
378.567,0.048,0.063,0.07,0.117,0.091,0.09,0.114,0.122,0.453,1.272,2.075,2.5
378.738,0.045,0.062,0.068,0.115,0.09,0.09,0.116,0.119,0.448,1.247,2.087,2.5
378.909,0.046,0.061,0.068,0.115,0.092,0.09,0.117,0.12,0.443,1.18,1.87,2.5
379.081,0.048,0.064,0.07,0.114,0.091,0.089,0.121,0.12,0.438,1.158,2.017,2.5
379.252,0.048,0.065,0.07,0.11,0.093,0.086,0.125,0.119,0.429,1.112,1.964,2.5
379.423,0.046,0.065,0.069,0.106,0.092,0.083,0.124,0.119,0.424,1.087,1.991,2.5
379.595,0.044,0.064,0.067,0.102,0.091,0.08,0.123,0.116,0.42,1.073,2.002,2.5
379.766,0.042,0.065,0.066,0.099,0.09,0.079,0.126,0.117,0.415,1.032,2.026,2.5
379.937,0.04,0.065,0.066,0.097,0.091,0.08,0.125,0.119,0.412,1.008,1.981,2.5
380.109,0.038,0.063,0.063,0.094,0.09,0.08,0.125,0.119,0.412,0.989,2.036,2.5
380.28,0.037,0.063,0.06,0.092,0.088,0.078,0.124,0.121,0.413,0.974,2.13,2.5
380.451,0.037,0.062,0.062,0.092,0.088,0.077,0.124,0.119,0.409,0.958,2.073,2.5
380.623,0.038,0.062,0.061,0.093,0.088,0.079,0.125,0.119,0.411,0.938,2.139,2.5
380.794,0.04,0.062,0.061,0.094,0.088,0.079,0.124,0.12,0.41,0.934,2.177,2.5
380.965,0.041,0.063,0.061,0.096,0.088,0.081,0.126,0.123,0.41,0.929,2.17,2.5
381.137,0.042,0.062,0.061,0.095,0.089,0.08,0.123,0.121,0.408,0.916,1.959,2.5
381.308,0.042,0.063,0.061,0.096,0.09,0.082,0.123,0.123,0.408,0.897,1.843,2.5
381.479,0.044,0.062,0.062,0.096,0.089,0.082,0.122,0.124,0.408,0.886,1.865,2.5
